rank,feature,mean_abs_shap
185,aspect_orb_jupiter_sun,0.007915
186,d7_saturn_sign,0.007850
187,lagna_sign,0.007728
188,dist_saturn_rahu,0.007665
189,dist_venus_saturn,0.007635
190,first_saturn_antardasha_after_16,0.007603
191,lat_ketu,0.007583
192,dispositor_venus,0.007497
193,house_from_sun_ketu,0.007438
194,house_pos_mercury,0.007332
195,d10_jupiter_deg,0.007322
196,dist_moon_rahu,0.007255
197,lon_mercury,0.007212
198,first_ketu_antardasha_after_16,0.007112
199,vel_jupiter,0.007088
200,acc_moon,0.007084
201,dist_mars_rahu,0.007039
202,d12_jupiter_deg,0.006963
203,jerk_saturn,0.006942
204,d10_sun_sign,0.006903
205,d4_ketu_sign,0.006830
206,dist_moon_jupiter,0.006825
207,bav_in_sign_mars,0.006824
208,aspect_orb_sun_moon,0.006763
209,aspect_orb_moon_saturn,0.006574
210,vel_sun,0.006567
211,aspect_orb_mercury_jupiter,0.006558
212,aspect_orb_mercury_saturn,0.006550
213,aspect_orb_mars_ketu,0.006548
214,vel_venus,0.006509
215,tattva_moon,0.006500
216,dist_sun_jupiter,0.006489
217,lon_jupiter,0.006487
218,lon_moon,0.006413
219,aspect_orb_moon_venus,0.006404
220,sav_house_7,0.006395
221,dist_venus_rahu,0.006383
222,acc_venus,0.006378
223,d10_mars_sign,0.006332
224,combust_mercury,0.006310
225,dist_sun_mars,0.006198
226,sav_house_2,0.006187
227,first_mercury_antardasha_after_16,0.006166
228,tattva_jupiter,0.006090
229,aspect_orb_venus_rahu,0.005947
230,house_from_moon_mercury,0.005939
231,d12_mercury_sign,0.005913
232,aspect_orb_mars_sun,0.005905
233,dec_saturn,0.005763
234,dasha_start_age_jupiter,0.005751
235,d24_jupiter_sign,0.005709
236,house_from_moon_venus,0.005692
237,drishti_ketu_moon,0.005622
238,d7_venus_sign,0.005509
239,tattva_saturn,0.005483
240,lon_saturn,0.005444
241,house_from_sun_mercury,0.005411
242,d30_moon_sign,0.005316
243,d9_saturn_sign,0.005305
244,nak_pos_venus,0.005282
245,lon_venus,0.005275
246,sav_house_3,0.005094
247,dist_jupiter_venus,0.005077
248,dist_moon_mars,0.004810
249,d30_mercury_sign,0.004775
250,tithi_angle,0.004760
251,disp_depth_saturn,0.004714
252,yoga_angle,0.004708
253,aspect_orb_ketu_mars,0.004680
254,aspect_orb_saturn_ketu,0.004663
255,d4_mars_sign,0.004659
256,dispositor_jupiter,0.004533
257,dec_moon,0.004482
258,aspect_orb_mars_jupiter,0.004465
259,tattva_ketu,0.004445
260,house_from_sun_jupiter,0.004417
261,aspect_orb_ketu_saturn,0.004209
262,acc_mars,0.004207
263,drishti_sun_jupiter,0.004180
264,d3_moon_sign,0.004129
265,d3_rahu_sign,0.004074
266,aspect_orb_saturn_rahu,0.004052
267,dasha_start_age_ketu,0.004050
268,d4_saturn_sign,0.004032
269,tattva_mercury,0.004000
270,d10_venus_sign,0.003995
271,d9_moon_sign,0.003964
272,d3_sun_sign,0.003823
273,panchanga_vara,0.003821
274,oob_venus,0.003799
275,d3_saturn_sign,0.003791
276,d7_jupiter_sign,0.003785
277,house_from_moon_mars,0.003727
278,dist_saturn_ketu,0.003705
279,d7_sun_sign,0.003660
280,dist_sun_ketu,0.003616
281,dasha_start_age_sun,0.003467
282,lat_rahu,0.003452
283,aspect_orb_venus_jupiter,0.003339
284,dasha_start_age_venus,0.003336
285,d30_venus_sign,0.003167
286,house_from_moon_rahu,0.003138
287,disp_depth_venus,0.003125
288,house_from_sun_saturn,0.003083
289,bav_in_sign_jupiter,0.003064
290,house_from_sun_mars,0.003060
291,jerk_jupiter,0.002971
292,d10_moon_sign,0.002966
293,combust_mars,0.002961
294,combust_moon,0.002943
295,bav_in_sign_moon,0.002938
296,dist_venus_ketu,0.002926
297,d7_mercury_sign,0.002814
298,d3_venus_sign,0.002712
299,drishti_saturn_moon,0.002646
300,d2_sun_sign,0.002631
301,dasha_start_age_mercury,0.002605
302,dist_moon_ketu,0.002515
303,house_mars,0.002455
304,d30_mars_sign,0.002414
305,d10_rahu_sign,0.002372
306,d10_saturn_sign,0.002302
307,vel_saturn,0.002224
308,dist_mars_mercury,0.002205
309,house_saturn,0.002199
310,d4_mercury_sign,0.002160
311,d24_mars_sign,0.002129
312,d10_mercury_sign,0.002050
313,d9_mars_sign,0.002039
314,d24_rahu_sign,0.001992
315,d24_moon_sign,0.001913
316,d7_ketu_sign,0.001912
317,tattva_sun,0.001893
318,d7_rahu_sign,0.001826
319,d9_venus_sign,0.001823
320,d3_mercury_sign,0.001792
321,bav_in_sign_sun,0.001779
322,lat_venus,0.001753
323,d4_rahu_sign,0.001703
324,d7_mars_sign,0.001685
325,panchanga_yoga,0.001578
326,nak_jupiter,0.001563
327,house_from_moon_ketu,0.001504
328,d9_ketu_sign,0.001479
329,drishti_venus_mars,0.001450
330,disp_depth_jupiter,0.001443
331,dec_ketu,0.001380
332,bav_in_sign_mercury,0.001337
333,disp_depth_sun,0.001325
334,d24_sun_sign,0.001181
335,combust_venus,0.001166
336,disp_depth_rahu,0.001159
337,disp_depth_mercury,0.001127
338,drishti_jupiter_sun,0.001048
339,yoga_bhadra,0.000970
340,disp_depth_ketu,0.000963
341,d4_venus_sign,0.000947
342,d9_rahu_sign,0.000935
343,d3_ketu_sign,0.000927
344,sav_house_12,0.000835
345,drishti_rahu_sun,0.000821
346,drishti_mars_ketu,0.000773
347,drishti_jupiter_venus,0.000773
348,drishti_saturn_mars,0.000754
349,d4_jupiter_sign,0.000726
350,d4_sun_sign,0.000703
351,d10_ketu_sign,0.000697
352,oob_jupiter,0.000692
353,drishti_jupiter_mars,0.000641
354,house_sun,0.000635
355,sav_house_1,0.000634
356,house_rahu,0.000622
357,panchanga_karana,0.000587
358,d2_mars_sign,0.000565
359,drishti_saturn_venus,0.000560
360,d30_rahu_sign,0.000491
361,aspect_orb_rahu_ketu,0.000452
362,house_from_sun_rahu,0.000395
363,panchanga_tithi,0.000275
364,drishti_saturn_sun,0.000239
365,drishti_mercury_saturn,0.000229
366,bav_in_sign_saturn,0.000211
367,house_from_sun_moon,0.000193
368,drishti_ketu_mercury,0.000188
369,drishti_saturn_jupiter,0.000188
370,house_from_moon_jupiter,0.000170
371,drishti_venus_ketu,0.000153
372,d2_moon_sign,0.000050
373,drishti_mars_venus,0.000034
374,nak_sun,0.000000
375,nak_moon,0.000000
376,nak_mars,0.000000
377,nak_mercury,0.000000
378,nak_venus,0.000000
379,house_venus,0.000000
380,nak_saturn,0.000000
381,nak_rahu,0.000000
382,nak_ketu,0.000000
383,dist_mars_ketu,0.000000
384,dist_jupiter_ketu,0.000000
385,dist_rahu_ketu,0.000000
386,rx_sun,0.000000
387,stationary_sun,0.000000
388,combust_sun,0.000000
389,oob_sun,0.000000
390,rx_moon,0.000000
391,stationary_moon,0.000000
392,oob_moon,0.000000
393,rx_mars,0.000000
394,stationary_mars,0.000000
395,oob_mars,0.000000
396,rx_mercury,0.000000
397,stationary_mercury,0.000000
398,oob_mercury,0.000000
399,rx_jupiter,0.000000
400,stationary_jupiter,0.000000
401,combust_jupiter,0.000000
402,rx_venus,0.000000
403,stationary_venus,0.000000
404,rx_saturn,0.000000
405,stationary_saturn,0.000000
406,combust_saturn,0.000000
407,oob_saturn,0.000000
408,rx_rahu,0.000000
409,stationary_rahu,0.000000
410,combust_rahu,0.000000
411,oob_rahu,0.000000
412,vel_ketu,0.000000
413,rx_ketu,0.000000
414,stationary_ketu,0.000000
415,combust_ketu,0.000000
416,oob_ketu,0.000000
417,acc_ketu,0.000000
418,jerk_ketu,0.000000
419,drishti_sun_sun,0.000000
420,drishti_sun_moon,0.000000
421,drishti_sun_mars,0.000000
422,drishti_sun_mercury,0.000000
423,drishti_sun_venus,0.000000
424,drishti_sun_saturn,0.000000
425,drishti_sun_rahu,0.000000
426,drishti_sun_ketu,0.000000
427,drishti_moon_sun,0.000000
428,drishti_moon_moon,0.000000
429,drishti_moon_mars,0.000000
430,drishti_moon_mercury,0.000000
431,drishti_moon_jupiter,0.000000
