target,person_id,index,age
longevity,LA:122026,0.09,58.50019101971559
longevity,LA:121769,0.16,32.386664592955725
longevity,LA:120987,0.49000000000000005,66.03327469649126
longevity,LA:26392,1.1199999999999999,19.952973531791034
longevity,LA:121624,0.03999999999999998,11.012600076204942
longevity,LA:28642,-0.31,11.134712756796624
longevity,LA:16142,0.20999999999999996,34.407364057213314
longevity,LA:11822,-0.25,30.86772005103617
longevity,LA:12860,0.04,40.88891715524423
longevity,LA:18759,-0.5,21.431524438735245
longevity,LA:111937,0.4,70.65038600686147
longevity,LA:8235,-0.11,36.580002023009655
longevity,LA:10578,-1.17,22.01918930573523
longevity,LA:17426,0.95,42.79943069280004
longevity,LA:13061,0.58,3.4385817743108515
longevity,LA:19689,-0.73,37.20468694188149
longevity,LA:17530,0.67,7.8215339681727
longevity,LA:19462,-0.72,50.140713843339256
longevity,LA:9448,0.38,30.018200490338405
longevity,LA:21189,0.29000000000000004,24.868726865636653
longevity,LA:27447,-0.27,47.42433363019396
longevity,LA:16828,0.36,17.283581253347577
longevity,LA:6870,-0.38999999999999996,23.692772863487907
longevity,LA:97627,0.43,17.155869045908467
longevity,LA:20092,-0.36,47.05944503132022
longevity,LA:7368,0.45999999999999996,40.26325051925162
longevity,LA:27097,-0.10999999999999999,46.835293091677386
longevity,LA:16637,0.65,21.902134147809946
longevity,LA:10400,0.010000000000000009,11.101303700053297
longevity,LA:25612,-0.10999999999999999,23.903522621575945
longevity,LA:13336,0.77,66.84053453578174
longevity,LA:17420,0.45999999999999996,26.539815759139323
longevity,LA:9925,-0.39999999999999997,49.47086727514111
longevity,LA:111661,0.1,9.380001085021973
longevity,LA:99024,0.49,57.88423153161286
longevity,LA:7409,0.6499999999999999,28.18648112783528
longevity,LA:12303,-0.9299999999999999,57.462346807131254
longevity,LA:9328,0.21000000000000002,42.054353411571526
longevity,LA:25605,1.04,24.85068773435386
longevity,LA:14681,-0.06,72.44372637762986
longevity,LA:5455,0.040000000000000036,24.72960645882443
longevity,LA:98362,0.53,14.178989276277344
longevity,LA:13063,1.0,11.78840149074005
longevity,LA:22654,-1.44,28.162671350515843
