name,date_of_birth,time_of_birth,latitude,longitude,tz_offset,rodden_rating,categories,source_url
Adolf Butenandt,1903-03-24,22:00:00,53.539000,8.583000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfButenandt1903
Adolf Eichmann,1906-03-19,19:30:00,51.172000,7.084000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfEichmann1906
Adolf Galland,1912-03-19,12:30:00,51.611000,7.197000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfGalland1912
Adolf Heusinger,1897-08-04,10:30:00,51.828000,9.450000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfHeusinger1897
Adolf Hitler,1889-04-20,18:30:00,48.259000,13.035000,1.0833,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AdolfHitler1889
Adolf Hugo Dietzel,1902-02-03,06:00:00,48.893000,8.705000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfHugoDietzel1902
Adolf Reichwein,1898-10-03,03:00:00,50.336000,7.712000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AdolfReichwein1898
Adolfh Freiherr Knigge,1752-10-16,05:30:00,51.855000,7.489000,0.8833,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfhFreiherrKnigge1752
Adolfo Bardini,1915-04-09,05:00:00,44.407000,8.934000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfoBardini1915
Adolfo Celi,1922-07-27,16:30:00,38.192000,15.556000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfoCeli1922
Adolf von Baeyer,1835-10-31,22:30:00,52.523000,13.411000,0.8833,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfvonBaeyer1835
Adolf von Hildebrand,1847-10-06,16:45:00,50.815000,8.769000,0.8833,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolfvonHildebrand1847
Adolph Kiefer,1918-06-27,14:30:00,41.883000,-87.632000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolphKiefer1918
Adolph Kolping,1813-12-08,15:00:00,50.873000,6.693000,0.8833,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolphKolping1813
Adolph Wagner,1835-03-25,23:45:00,49.600000,11.006000,0.8833,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolphWagner1835
Adolphe Charles Adam,1803-07-24,14:00:00,48.857000,2.351000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolpheCharlesAdam1803
Adolphe Francois Appia,1862-09-01,17:00:00,46.204000,6.140000,0.5000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolpheFrancoisAppia1862
Adolphe Jaureguy,1898-02-18,14:51:00,43.256000,-1.072000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolpheJaureguy1898
Adolphe Niel,1802-10-04,04:00:00,43.459000,1.327000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolpheNiel1802
Adolphe Thiers,1797-04-15,05:00:00,43.295000,5.374000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolpheThiers1797
Adolphe Willette,1857-07-30,02:30:00,48.955000,4.364000,0.1500,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AdolpheWillette1857
Adolphr Thedore Brongniart,1801-01-14,21:00:00,48.857000,2.351000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolphrThedoreBrongniart1801
Adolphus Busch,1839-07-10,16:00:00,49.995000,8.267000,0.8833,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdolphusBusch1839
Adone Stellin,1921-03-03,08:00:00,45.713000,11.358000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdoneStellin1921
Adrian Pasdar,1965-04-30,09:01:00,42.445000,-73.253000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrianPasdar1965
Adriana Asti,1933-04-30,03:25:00,45.464000,9.188000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AdrianaAsti1933
Adriana Benetti,1919-12-05,07:00:00,44.838000,11.620000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrianaBenetti1919
Adriana Lima,1981-06-12,16:50:00,-12.964000,-38.506000,-3.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AdrianaLima1981
Adriano Bassetto,1925-09-08,03:30:00,45.546000,11.540000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrianoBassetto1925
Adriano Buzzati,1913-04-06,04:45:00,45.464000,9.188000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrianoBuzzati1913
Adriano Celentano,1938-01-06,07:00:00,45.464000,9.188000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrianoCelentano1938
Adriano Giannini,1971-05-10,21:20:00,41.891000,12.494000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrianoGiannini1971
Adriano Olivetti,1901-04-11,19:50:00,45.467000,7.876000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrianoOlivetti1901
Adriano Sofri,1942-08-01,02:30:00,45.654000,13.779000,2.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrianoSofri1942
Adrianus Roland Holst,1888-05-23,22:30:00,52.373000,4.891000,0.3000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrianusRolandHolst1888
Adrien Anneet,1908-11-18,18:30:00,50.846000,4.356000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrienAnneet1908
Adrien Bertrand,1888-08-04,15:30:00,44.360000,5.140000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrienBertrand1888
Adrien Duvillard,1934-11-07,11:30:00,45.857000,6.618000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrienDuvillard1934
Adrien Fainsilber,1932-06-15,10:30:00,50.017000,3.784000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrienFainsilber1932
Adrien de Gerlache,1866-08-02,08:00:00,50.930000,5.338000,0.3000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdriendeGerlache1866
Adrienne Frantz,1978-06-07,00:43:00,42.597000,-82.878000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AdrienneFrantz1978
Adrienne Rich,1929-05-16,15:10:00,39.290000,-76.612000,-4.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AdrienneRich1929
Adua Pavarotti,1936-02-21,08:10:00,44.647000,10.925000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AduaPavarotti1936
Afro,1912-03-04,04:30:00,46.065000,13.231000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#Afro1912
Aga Muhlach,1969-08-12,14:30:00,14.582000,120.975000,8.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AgaMuhlach1969
Agatha Christie,1890-09-15,14:14:00,50.468000,-3.532000,0.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AgathaChristie1890
Agenore Incrocci,1919-07-04,05:05:00,45.540000,10.223000,2.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AgenoreIncrocci1919
Agnes Anne Abbot,1897-08-19,18:30:00,52.396000,13.059000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AgnesAnneAbbot1897
Agnes Rankin,1931-10-16,16:20:00,55.776000,-4.048000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AgnesRankin1931
Agnès B.,1941-11-26,16:15:00,48.802000,2.130000,2.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AgnèsB.1941
Agnès Capri,1907-04-15,13:00:00,45.837000,4.617000,0.1500,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AgnèsCapri1907
Agnès Jaoui,1964-10-19,04:30:00,48.754000,2.297000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AgnèsJaoui1964
Agnès Letestu,1971-02-01,05:40:00,48.798000,2.503000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AgnèsLetestu1971
Agnès Soral,1960-06-08,12:00:00,45.690000,5.916000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AgnèsSoral1960
Agnès Varda,1928-05-30,07:20:00,50.828000,4.372000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AgnèsVarda1928
Agop Haira,1926-11-07,20:30:00,44.498000,0.969000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AgopHaira1926
Agostina Belli,1947-04-13,18:00:00,45.464000,9.188000,2.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AgostinaBelli1947
Agostino Abbagnale,1966-08-25,11:15:00,40.749000,14.501000,2.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AgostinoAbbagnale1966
Aguigui Mouna,1911-10-01,02:30:00,45.917000,6.090000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AguiguiMouna1911
Aida Amoretti,1938-12-24,01:45:00,44.808000,10.330000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AidaAmoretti1938
Aileen McGillivary,1970-08-13,15:10:00,55.866000,-4.257000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AileenMcGillivary1970
Aimable,1922-05-10,08:00:00,50.324000,3.485000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#Aimable1922
Aime Auguste Cotton,1869-10-09,09:17:00,46.205000,5.226000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AimeAugusteCotton1869
Aime Etienne Jacquet,1941-11-27,00:15:00,45.734000,3.971000,2.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AimeEtienneJacquet1941
Aime Girard,1830-12-22,18:15:00,48.857000,2.351000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AimeGirard1830
