rank,feature,mean_abs_shap
175,t_aspect_orb_venus_mars,0.013884
176,d12_mars_deg,0.013765
177,yoga_angle,0.013761
178,d10_jupiter_deg,0.013726
179,sav_house_2,0.013649
180,t_dec_jupiter,0.013617
181,d3_sun_sign,0.013553
182,t_acc_rahu,0.013538
183,dist_moon_saturn,0.013528
184,t_aspect_orb_moon_mars,0.013524
185,nak_pos_rahu,0.013512
186,d12_venus_deg,0.013488
187,lat_mercury,0.013476
188,t_d9_sun_deg,0.013365
189,d9_mercury_deg,0.013300
190,t_drishti_saturn_rahu,0.013264
191,t_d12_saturn_deg,0.013249
192,dispositor_sun,0.013217
193,t_dispositor_rahu,0.013213
194,acc_venus,0.013033
195,t_dist_mars_mercury,0.013004
196,aspect_orb_ketu_saturn,0.012955
197,t_aspect_orb_saturn_venus,0.012927
198,t_acc_mercury,0.012916
199,t_sav_house_6,0.012860
200,d12_sun_sign,0.012858
201,t_dist_sun_saturn,0.012826
202,t_jerk_rahu,0.012700
203,t_tattva_moon,0.012671
204,dist_mars_jupiter,0.012660
205,t_aspect_orb_saturn_rahu,0.012653
206,sav_house_3,0.012540
207,lat_saturn,0.012517
208,house_from_moon_rahu,0.012491
209,d10_rahu_deg,0.012464
210,dispositor_mars,0.012381
211,t_aspect_orb_moon_rahu,0.012259
212,aspect_orb_mercury_jupiter,0.012254
213,first_mars_antardasha_after_16,0.012194
214,aspect_orb_ketu_moon,0.012179
215,aspect_orb_mars_venus,0.012133
216,house_pos_ketu,0.012088
217,aspect_orb_rahu_sun,0.012070
218,dispositor_mercury,0.012033
219,lon_mars,0.012011
220,t_sav_house_5,0.012004
221,t_tattva_saturn,0.011981
222,d3_moon_sign,0.011928
223,tattva_jupiter,0.011919
224,t_house_pos_rahu,0.011801
225,dist_moon_mars,0.011738
226,t_d10_venus_deg,0.011719
227,aspect_orb_venus_jupiter,0.011650
228,lon_sun,0.011595
229,t_tithi_angle,0.011391
230,aspect_orb_venus_saturn,0.011383
231,t_dist_sun_rahu,0.011361
232,dispositor_moon,0.011348
233,aspect_orb_jupiter_sun,0.011332
234,t_aspect_orb_saturn_mars,0.011274
235,t_d12_mars_deg,0.011222
236,t_dist_sun_mars,0.011222
237,acc_rahu,0.011180
238,bav_in_sign_sun,0.011103
239,t_aspect_orb_jupiter_mercury,0.011034
240,t_aspect_orb_sun_mars,0.011012
241,d9_moon_deg,0.010975
242,first_mercury_antardasha_after_16,0.010974
243,lagna_lon,0.010933
244,t_dist_sun_moon,0.010920
245,house_from_moon_sun,0.010862
246,aspect_orb_mars_moon,0.010857
247,dist_mars_mercury,0.010736
248,t_dispositor_moon,0.010676
249,d7_sun_sign,0.010510
250,t_aspect_orb_saturn_ketu,0.010482
251,d12_mercury_deg,0.010421
252,acc_moon,0.010346
253,lon_venus,0.010343
254,vel_jupiter,0.010340
255,dispositor_venus,0.010313
256,t_lon_jupiter,0.010308
257,t_aspect_orb_moon_jupiter,0.010294
258,t_sav_house_8,0.010271
259,nak_pos_venus,0.010223
260,dist_sun_saturn,0.010206
261,vel_moon,0.010197
262,dec_venus,0.010167
263,t_dist_moon_venus,0.010143
264,t_d12_venus_deg,0.010091
265,aspect_orb_mercury_rahu,0.009924
266,t_disp_depth_ketu,0.009910
267,t_aspect_orb_rahu_mars,0.009892
268,t_nak_pos_mars,0.009824
269,t_d9_moon_deg,0.009730
270,t_nak_rahu,0.009630
271,t_bav_in_sign_jupiter,0.009625
272,house_pos_sun,0.009610
273,aspect_orb_saturn_ketu,0.009578
274,nak_pos_moon,0.009542
275,d4_sun_sign,0.009474
276,d3_mercury_sign,0.009403
277,t_aspect_orb_rahu_mercury,0.009383
278,house_pos_mars,0.009368
279,aspect_orb_saturn_rahu,0.009343
280,t_d24_moon_sign,0.009314
281,t_aspect_orb_saturn_moon,0.009314
282,t_aspect_orb_ketu_sun,0.009281
283,t_house_pos_moon,0.009267
284,vel_mercury,0.009264
285,t_house_saturn,0.009241
286,aspect_orb_saturn_moon,0.009230
287,dispositor_saturn,0.009198
288,t_lat_mars,0.009171
289,t_aspect_orb_sun_rahu,0.009163
290,dist_saturn_rahu,0.009105
291,aspect_orb_mars_sun,0.009101
292,d10_saturn_deg,0.009080
293,dist_mercury_venus,0.008984
294,aspect_orb_sun_saturn,0.008977
295,t_d9_mercury_deg,0.008940
296,dist_saturn_ketu,0.008895
297,aspect_orb_jupiter_rahu,0.008658
298,aspect_orb_sun_mars,0.008653
299,acc_saturn,0.008643
300,t_house_from_moon_rahu,0.008599
301,t_d12_saturn_sign,0.008588
302,first_venus_antardasha_after_16,0.008504
303,lat_mars,0.008492
304,first_jupiter_antardasha_after_16,0.008488
305,dispositor_jupiter,0.008438
306,natal_dasha_remaining_years,0.008416
307,aspect_orb_venus_mars,0.008318
308,t_sav_house_12,0.008214
309,aspect_orb_jupiter_mars,0.008155
310,house_from_moon_saturn,0.008150
311,jerk_rahu,0.008140
312,t_dist_sun_venus,0.008100
313,dasha_start_age_saturn,0.008073
314,aspect_orb_saturn_mars,0.007966
315,t_dist_venus_saturn,0.007943
316,t_lat_sun,0.007834
317,kantaka_shani,0.007832
318,aspect_orb_jupiter_mercury,0.007801
319,d10_moon_sign,0.007782
320,t_aspect_orb_mars_venus,0.007746
321,aspect_orb_mars_saturn,0.007725
322,t_yoga_sasa,0.007708
323,dist_mars_saturn,0.007705
324,dist_moon_mercury,0.007689
325,t_vel_venus,0.007664
326,dasha_start_age_rahu,0.007656
327,tattva_sun,0.007650
328,aspect_orb_sun_jupiter,0.007551
329,t_dec_saturn,0.007541
330,vel_saturn,0.007514
331,lon_mercury,0.007477
332,dispositor_rahu,0.007386
333,house_pos_venus,0.007384
334,d4_venus_sign,0.007354
335,sav_house_1,0.007336
336,aspect_orb_saturn_jupiter,0.007299
337,t_aspect_orb_jupiter_venus,0.007266
338,dist_mars_rahu,0.007244
339,t_tattva_jupiter,0.007243
340,t_d12_moon_deg,0.007236
341,lat_moon,0.007199
342,aspect_orb_mercury_mars,0.007171
343,dist_sun_mars,0.007163
344,aspect_orb_ketu_mercury,0.007156
345,t_yoga_angle,0.007145
346,dasha_start_age_mars,0.007140
347,first_rahu_antardasha_after_16,0.007103
348,d2_mars_sign,0.007068
349,t_panchanga_yoga,0.007062
350,dist_jupiter_saturn,0.007028
351,t_d10_mercury_deg,0.006977
352,t_dispositor_mercury,0.006934
353,d12_jupiter_sign,0.006927
354,vel_rahu,0.006895
355,t_dist_saturn_rahu,0.006893
356,d9_venus_sign,0.006849
357,dasha_start_age_moon,0.006820
358,lon_saturn,0.006813
