rank,feature,mean_abs_shap
173,acc_venus,0.009596
174,t_d9_venus_deg,0.009450
175,t_aspect_orb_sun_rahu,0.009449
176,d10_rahu_deg,0.009435
177,d7_mars_sign,0.009428
178,aspect_orb_saturn_moon,0.009422
179,t_dispositor_ketu,0.009403
180,nak_pos_mars,0.009400
181,aspect_orb_jupiter_mars,0.009353
182,t_d7_jupiter_sign,0.009283
183,t_tattva_mercury,0.009262
184,t_sav_house_2,0.009171
185,nak_pos_jupiter,0.009170
186,aspect_orb_rahu_moon,0.009126
187,t_d10_mercury_deg,0.009084
188,d9_saturn_deg,0.009046
189,aspect_orb_moon_jupiter,0.009041
190,final_dispositor,0.009034
191,lagna_degree_in_sign,0.009000
192,t_aspect_orb_mars_ketu,0.008972
193,house_mars,0.008896
194,nak_pos_venus,0.008891
195,t_d24_mercury_sign,0.008883
196,t_dist_venus_saturn,0.008839
197,t_dispositor_saturn,0.008797
198,house_pos_moon,0.008777
199,house_pos_venus,0.008762
200,dist_sun_moon,0.008666
201,t_d9_rahu_deg,0.008624
202,t_d7_mars_sign,0.008616
203,dist_sun_rahu,0.008599
204,dispositor_sun,0.008592
205,t_aspect_orb_jupiter_ketu,0.008516
206,t_dispositor_venus,0.008511
207,lagna_lon,0.008462
208,t_dec_saturn,0.008458
209,t_nak_mercury,0.008452
210,t_d7_venus_sign,0.008309
211,t_bav_in_sign_sun,0.008306
212,t_vel_moon,0.008224
213,t_aspect_orb_saturn_jupiter,0.008173
214,t_acc_moon,0.008158
215,aspect_orb_ketu_moon,0.008114
216,t_d12_sun_deg,0.008113
217,t_dist_mercury_venus,0.008080
218,t_dispositor_moon,0.008078
219,d12_moon_deg,0.008067
220,t_house_venus,0.008065
221,t_aspect_orb_rahu_moon,0.007970
222,t_tattva_saturn,0.007937
223,vel_jupiter,0.007889
224,t_d3_mars_sign,0.007873
225,acc_rahu,0.007850
226,first_rahu_antardasha_after_16,0.007840
227,dispositor_saturn,0.007806
228,first_venus_antardasha_after_16,0.007802
229,dist_mars_jupiter,0.007797
230,acc_mercury,0.007785
231,t_d9_mercury_deg,0.007758
232,d30_mercury_sign,0.007741
233,t_nak_pos_moon,0.007737
234,tattva_mars,0.007723
235,t_aspect_orb_venus_jupiter,0.007686
236,t_aspect_orb_ketu_mars,0.007663
237,aspect_orb_mars_venus,0.007659
238,t_sav_house_5,0.007638
239,d12_sun_deg,0.007618
240,aspect_orb_saturn_sun,0.007608
241,t_lon_mercury,0.007569
242,aspect_orb_ketu_mars,0.007509
243,t_dist_sun_jupiter,0.007506
244,d10_saturn_deg,0.007505
245,natal_dasha_remaining_years,0.007488
246,t_dist_moon_saturn,0.007483
247,t_dist_jupiter_rahu,0.007476
248,t_house_from_sun_ketu,0.007446
249,jerk_saturn,0.007414
250,acc_jupiter,0.007372
251,t_aspect_orb_venus_mars,0.007366
252,nak_pos_moon,0.007361
253,house_pos_saturn,0.007359
254,aspect_orb_venus_rahu,0.007357
255,t_nak_pos_venus,0.007307
256,sav_house_8,0.007285
257,dispositor_ketu,0.007203
258,t_tattva_ketu,0.007177
259,d4_ketu_sign,0.007174
260,t_lat_moon,0.007170
261,t_acc_rahu,0.007125
262,dec_jupiter,0.007086
263,vel_sun,0.007033
264,bav_in_sign_mars,0.007022
265,dasha_start_age_mars,0.007012
266,d9_rahu_deg,0.007008
267,aspect_orb_ketu_venus,0.006935
268,dist_mercury_jupiter,0.006925
269,d10_sun_deg,0.006889
270,t_bav_in_sign_moon,0.006871
271,t_aspect_orb_ketu_sun,0.006848
272,acc_moon,0.006836
273,d12_mercury_deg,0.006828
274,t_aspect_orb_ketu_mercury,0.006823
275,t_dist_moon_venus,0.006752
276,d12_mars_deg,0.006721
277,dist_sun_mercury,0.006710
278,dasha_start_age_mercury,0.006705
279,dist_mars_mercury,0.006675
280,dist_jupiter_saturn,0.006627
281,t_tattva_sun,0.006624
282,nak_pos_mercury,0.006616
283,t_acc_saturn,0.006601
284,vel_rahu,0.006581
285,t_house_jupiter,0.006576
286,dispositor_venus,0.006514
287,aspect_orb_venus_jupiter,0.006470
288,t_lat_mercury,0.006452
289,t_d10_jupiter_sign,0.006419
290,t_combust_venus,0.006381
291,aspect_orb_saturn_ketu,0.006376
292,d9_venus_sign,0.006270
293,t_d12_jupiter_deg,0.006260
294,t_house_saturn,0.006224
295,dasha_start_age_saturn,0.006221
296,t_lagna_lon,0.006213
297,t_drishti_jupiter_moon,0.006190
298,t_aspect_orb_sun_moon,0.006109
299,t_d10_mars_sign,0.006084
300,dist_sun_venus,0.006080
301,dist_mercury_saturn,0.006052
302,lat_mercury,0.005990
303,t_d10_jupiter_deg,0.005972
304,t_aspect_orb_rahu_mercury,0.005948
305,t_aspect_orb_moon_venus,0.005946
306,t_d10_rahu_deg,0.005946
307,aspect_orb_mars_moon,0.005937
308,first_ketu_antardasha_after_16,0.005887
309,aspect_orb_jupiter_mercury,0.005880
310,t_aspect_orb_mars_moon,0.005851
311,t_d10_venus_deg,0.005847
312,aspect_orb_rahu_mercury,0.005829
313,tattva_saturn,0.005781
314,house_pos_sun,0.005756
315,lon_venus,0.005740
316,nak_pos_rahu,0.005735
317,house_pos_rahu,0.005718
318,t_d7_saturn_sign,0.005688
319,d12_rahu_deg,0.005677
320,t_lat_saturn,0.005657
321,lat_saturn,0.005655
322,t_d10_saturn_deg,0.005655
323,t_dec_ketu,0.005629
324,d4_rahu_sign,0.005616
325,bav_in_sign_sun,0.005592
326,t_house_rahu,0.005580
327,d12_jupiter_deg,0.005565
328,d30_sun_sign,0.005546
329,lat_sun,0.005475
330,t_d3_moon_sign,0.005472
331,t_d3_jupiter_sign,0.005448
332,t_dist_moon_mercury,0.005444
333,d9_saturn_sign,0.005401
334,dist_mars_rahu,0.005369
335,aspect_orb_moon_mars,0.005351
336,t_dist_moon_rahu,0.005326
337,first_mercury_antardasha_after_16,0.005300
338,dist_mercury_rahu,0.005297
339,t_combust_mercury,0.005286
340,d10_venus_sign,0.005284
341,t_lat_venus,0.005279
342,aspect_orb_rahu_sun,0.005266
343,t_sav_house_9,0.005239
344,t_d24_saturn_sign,0.005230
345,t_aspect_orb_jupiter_rahu,0.005212
346,house_from_moon_ketu,0.005178
347,d3_rahu_sign,0.005176
348,tattva_ketu,0.005133
349,dispositor_moon,0.005119
350,t_d24_venus_sign,0.005090
351,aspect_orb_jupiter_saturn,0.005071
352,aspect_orb_mercury_rahu,0.005068
353,d7_moon_sign,0.005044
354,t_d24_rahu_sign,0.005009
355,dist_jupiter_rahu,0.005001
356,t_panchanga_yoga,0.004981
357,t_d12_venus_deg,0.004959
358,sav_house_12,0.004910
359,aspect_orb_sun_saturn,0.004861
360,t_dist_jupiter_venus,0.004855
361,t_jerk_rahu,0.004802
362,nak_pos_sun,0.004800
363,d9_mercury_deg,0.004799
364,disp_depth_moon,0.004790
365,t_lon_jupiter,0.004782
366,t_lon_rahu,0.004780
367,panchanga_vara,0.004761
368,bav_in_sign_saturn,0.004745
369,t_aspect_orb_rahu_saturn,0.004710
370,drishti_jupiter_saturn,0.004705
371,nak_pos_saturn,0.004672
372,tattva_venus,0.004670
373,t_lon_sun,0.004616
374,t_dist_sun_mars,0.004615
375,t_lon_venus,0.004608
376,t_d9_moon_sign,0.004595
377,t_aspect_orb_sun_saturn,0.004573
378,tattva_rahu,0.004542
379,t_tattva_jupiter,0.004531
380,t_dist_mars_rahu,0.004519
381,aspect_orb_mercury_saturn,0.004479
382,t_house_mars,0.004477
383,t_d12_ketu_sign,0.004453
384,first_moon_antardasha_after_16,0.004430
385,vel_mercury,0.004405
386,aspect_orb_moon_rahu,0.004377
387,t_d7_moon_sign,0.004362
388,dec_mars,0.004340
389,t_dec_moon,0.004332
390,t_dist_jupiter_saturn,0.004306
391,d12_moon_sign,0.004299
392,t_dec_mercury,0.004288
393,d9_moon_deg,0.004285
394,t_aspect_orb_mercury_rahu,0.004234
395,d3_jupiter_sign,0.004228
396,nak_pos_ketu,0.004215
397,d10_saturn_sign,0.004212
398,t_aspect_orb_mars_saturn,0.004206
399,t_drishti_sun_saturn,0.004196
400,d3_moon_sign,0.004176
401,sav_house_6,0.004154
402,t_dist_mars_venus,0.004139
403,house_from_moon_saturn,0.004131
404,d30_rahu_sign,0.004129
405,dist_venus_rahu,0.004065
406,cross_lon_venus,0.004064
407,t_d12_moon_sign,0.004045
408,aspect_orb_sun_moon,0.004044
409,t_aspect_orb_saturn_sun,0.004033
410,d3_mercury_sign,0.004025
411,t_d30_mercury_sign,0.004007
412,dist_sun_mars,0.004005
413,t_dist_sun_moon,0.003974
414,t_aspect_orb_mercury_jupiter,0.003939
415,t_aspect_orb_mars_venus,0.003901
416,sav_house_1,0.003897
417,house_mercury,0.003870
418,aspect_orb_mercury_mars,0.003865
419,bav_in_sign_mercury,0.003865
420,t_d9_jupiter_sign,0.003845
421,aspect_orb_saturn_mercury,0.003840
422,t_dec_mars,0.003838
423,lon_moon,0.003832
424,d24_rahu_sign,0.003831
425,t_dist_mercury_jupiter,0.003790
426,disp_depth_mars,0.003764
427,lon_rahu,0.003694
428,d30_saturn_sign,0.003686
429,house_venus,0.003677
430,t_d24_jupiter_sign,0.003660
431,house_from_moon_mars,0.003660
432,combust_jupiter,0.003643
433,t_lon_mars,0.003636
434,d9_ketu_sign,0.003609
435,lat_mars,0.003600
436,house_jupiter,0.003582
437,lagna_sign,0.003572
438,t_aspect_orb_venus_rahu,0.003519
439,dist_mars_ketu,0.003508
440,disp_depth_venus,0.003505
441,t_aspect_orb_mars_jupiter,0.003504
442,dec_ketu,0.003465
443,t_disp_depth_moon,0.003459
444,d10_venus_deg,0.003441
445,aspect_orb_ketu_saturn,0.003424
446,t_dispositor_rahu,0.003383
447,d9_mars_deg,0.003366
448,d7_sun_sign,0.003363
449,t_yoga_ruchaka,0.003355
450,t_d9_venus_sign,0.003347
451,d9_jupiter_sign,0.003326
452,t_dist_venus_rahu,0.003315
453,t_dist_sun_saturn,0.003313
454,t_aspect_orb_venus_saturn,0.003311
455,t_d4_rahu_sign,0.003217
456,d12_saturn_sign,0.003208
457,t_d12_rahu_sign,0.003184
458,dec_venus,0.003181
459,d4_moon_sign,0.003142
460,t_drishti_ketu_sun,0.003097
461,jerk_rahu,0.003089
462,t_d24_sun_sign,0.003076
463,t_lat_rahu,0.003017
464,house_from_sun_rahu,0.003005
465,t_acc_sun,0.002993
466,lon_mercury,0.002976
467,t_bav_in_sign_venus,0.002970
468,house_from_moon_jupiter,0.002958
469,lat_jupiter,0.002954
470,t_sav_house_8,0.002902
471,lon_mars,0.002900
472,dasha_start_age_rahu,0.002892
473,d10_ketu_sign,0.002880
474,lon_ketu,0.002878
475,dist_jupiter_venus,0.002869
476,t_dist_moon_jupiter,0.002854
477,t_d24_moon_sign,0.002854
478,house_saturn,0.002849
479,t_nak_pos_rahu,0.002849
480,t_house_from_moon_sun,0.002838
481,d3_venus_sign,0.002795
482,drishti_saturn_mercury,0.002791
483,dist_mars_saturn,0.002757
484,dispositor_jupiter,0.002743
485,combust_mars,0.002733
486,house_from_sun_saturn,0.002723
487,t_d12_venus_sign,0.002704
488,t_nak_mars,0.002681
489,dist_mars_venus,0.002650
490,disp_depth_rahu,0.002635
491,t_d10_moon_sign,0.002615
492,t_aspect_orb_jupiter_mercury,0.002598
493,d24_mercury_sign,0.002581
494,d9_rahu_sign,0.002581
495,t_d10_ketu_sign,0.002571
496,aspect_orb_venus_mars,0.002567
497,lon_saturn,0.002533
498,t_d9_mars_sign,0.002533
499,sav_house_7,0.002526
500,dist_moon_rahu,0.002508
501,d30_venus_sign,0.002491
502,dec_rahu,0.002485
503,t_dispositor_mars,0.002482
504,t_d3_sun_sign,0.002475
505,t_nak_pos_sun,0.002467
506,t_lat_sun,0.002461
507,combust_mercury,0.002445
508,t_drishti_rahu_mars,0.002437
509,aspect_orb_ketu_mercury,0.002390
510,d7_mercury_sign,0.002387
511,t_vel_saturn,0.002377
512,d24_moon_sign,0.002377
513,house_pos_ketu,0.002333
514,t_house_from_moon_jupiter,0.002314
515,t_d10_saturn_sign,0.002296
516,first_saturn_antardasha_after_16,0.002259
517,t_house_ketu,0.002259
518,t_d12_sun_sign,0.002240
519,sav_house_9,0.002224
520,t_d30_moon_sign,0.002210
521,aspect_orb_mars_sun,0.002190
522,aspect_orb_ketu_sun,0.002172
523,t_house_from_moon_ketu,0.002172
524,d12_sun_sign,0.002148
525,d24_mars_sign,0.002138
526,t_d7_mercury_sign,0.002135
527,t_lon_ketu,0.002121
528,kantaka_shani,0.002120
529,t_aspect_orb_moon_rahu,0.002100
530,t_yoga_angle,0.002087
531,t_drishti_mars_sun,0.002041
532,t_dec_sun,0.001975
533,t_house_mercury,0.001974
534,drishti_mars_moon,0.001962
535,dist_saturn_ketu,0.001957
536,t_d4_moon_sign,0.001918
537,t_acc_jupiter,0.001886
538,nak_moon,0.001859
539,d12_jupiter_sign,0.001835
540,t_dist_saturn_rahu,0.001798
541,t_dispositor_mercury,0.001794
542,house_sun,0.001790
543,lat_venus,0.001785
544,panchanga_yoga,0.001782
545,first_mars_antardasha_after_16,0.001755
546,aspect_orb_jupiter_ketu,0.001750
547,t_house_from_moon_mars,0.001726
548,sav_house_5,0.001711
549,house_from_moon_mercury,0.001707
550,dist_saturn_rahu,0.001678
551,t_house_from_moon_mercury,0.001675
552,tattva_moon,0.001673
553,d4_jupiter_sign,0.001664
554,t_tattva_venus,0.001649
555,dasha_start_age_venus,0.001633
556,dasha_start_age_ketu,0.001632
557,t_drishti_saturn_venus,0.001628
558,t_d30_mars_sign,0.001627
559,d4_sun_sign,0.001626
560,house_from_moon_rahu,0.001615
561,dec_sun,0.001609
562,d2_rahu_sign,0.001585
563,d9_mercury_sign,0.001574
564,t_disp_depth_jupiter,0.001531
565,house_from_sun_ketu,0.001521
566,t_vel_rahu,0.001486
567,t_d4_ketu_sign,0.001462
568,t_d9_ketu_sign,0.001446
569,t_panchanga_tithi,0.001382
570,d10_jupiter_sign,0.001365
571,sav_house_2,0.001346
572,acc_mars,0.001346
573,d12_rahu_sign,0.001336
574,d12_mercury_sign,0.001333
575,d24_venus_sign,0.001329
576,aspect_orb_sun_rahu,0.001322
577,drishti_sun_moon,0.001287
578,aspect_orb_moon_venus,0.001287
579,dist_sun_ketu,0.001251
580,t_aspect_orb_sun_mars,0.001224
581,house_from_moon_sun,0.001213
582,t_lat_mars,0.001207
583,t_drishti_rahu_venus,0.001189
584,t_d7_sun_sign,0.001181
585,t_aspect_orb_rahu_mars,0.001179
586,t_d12_jupiter_sign,0.001158
587,t_disp_depth_mercury,0.001146
588,t_d4_venus_sign,0.001137
589,tithi_angle,0.001121
590,t_drishti_saturn_jupiter,0.001107
591,drishti_moon_venus,0.001075
592,d9_moon_sign,0.001070
593,transit_bav_sun,0.001070
594,dist_sun_saturn,0.001067
595,house_from_sun_moon,0.001009
596,aspect_orb_saturn_rahu,0.001003
597,t_d4_jupiter_sign,0.000998
598,d12_mars_sign,0.000987
599,house_from_sun_mars,0.000977
600,tattva_sun,0.000961
601,t_d3_rahu_sign,0.000941
602,d4_venus_sign,0.000905
603,house_ketu,0.000846
604,d4_mercury_sign,0.000843
605,d2_mars_sign,0.000824
606,d24_sun_sign,0.000822
607,t_vel_venus,0.000815
608,d7_saturn_sign,0.000744
609,t_house_sun,0.000743
610,d7_rahu_sign,0.000739
611,d3_ketu_sign,0.000734
612,aspect_orb_moon_mercury,0.000718
613,d30_mars_sign,0.000713
614,t_drishti_mars_saturn,0.000700
615,t_drishti_ketu_mercury,0.000693
616,t_d12_mercury_sign,0.000680
617,t_sav_house_7,0.000645
618,vel_saturn,0.000640
619,t_jerk_saturn,0.000636
620,t_d9_saturn_sign,0.000600
621,t_aspect_orb_moon_saturn,0.000540
622,drishti_ketu_sun,0.000495
623,sav_house_10,0.000471
624,t_d10_sun_sign,0.000453
625,t_d7_rahu_sign,0.000448
626,t_house_from_moon_saturn,0.000445
627,t_bav_in_sign_saturn,0.000438
628,t_disp_depth_ketu,0.000438
629,t_dist_mercury_rahu,0.000427
630,t_house_from_sun_rahu,0.000421
631,d10_mars_sign,0.000417
632,panchanga_tithi,0.000379
633,t_d30_venus_sign,0.000377
634,d3_mars_sign,0.000371
635,d9_mars_sign,0.000361
636,disp_depth_saturn,0.000352
637,oob_mercury,0.000336
